Team,Status,Team rating,CB,LB,RB,ST,CM,AM,LM,DM,LW,RW,RM,Rival team rating,CBr,LBr,RBr,STr,CMr,AMr,LMr,DMr,LWr,RWr,RMr,Result,Round,Team_encoded,Status_encoded
Wolves,Home,7.0,3,0,0,1,2,0,1,0,1,1,1,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,7,19,1
Man city,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,7.0,3,0,0,1,2,0,1,0,1,1,1,Lost,7,12,0
Tottenham,Home,7.8,2,1,1,1,0,1,0,2,1,1,0,6.3,2,1,1,1,3,0,0,0,1,1,0,Win,7,17,1
Liverpool,Guest,6.3,2,1,1,1,3,0,0,0,1,1,0,7.8,2,1,1,1,0,1,0,2,1,1,0,Lost,7,10,0
Nottm forest,Home,6.9,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,3,0,0,0,1,1,0,Draw,7,15,1
Brentford,Guest,6.8,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,3,0,0,0,1,1,0,Draw,7,3,0
Fulham,Home,6.1,2,1,1,1,3,0,0,0,1,1,0,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,7,9,1
Chelsea,Guest,7.3,2,1,1,1,3,0,0,0,1,1,0,6.1,2,1,1,1,3,0,0,0,1,1,0,Win,7,6,0
Luton,Home,6.5,2,1,1,2,2,0,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,8,11,1
Tottenham,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,8,17,0
Burnley,Home,6.3,2,1,1,1,3,0,0,0,1,1,0,7.5,2,1,1,1,3,0,0,0,1,1,0,Lost,8,5,1
Chelsea,Guest,7.5,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,3,0,0,0,1,1,0,Win,8,6,0
Everton,Home,7.8,2,1,1,1,2,1,1,0,0,0,1,6.0,2,1,1,1,0,1,0,2,1,1,0,Win,8,8,1
Bournemouth,Guest,6.0,2,1,1,1,0,1,0,2,1,1,0,7.8,2,1,1,1,2,1,1,0,0,0,1,Lost,8,2,0
Fulham,Home,7.1,2,1,1,1,3,0,0,0,1,1,0,6.3,3,0,0,2,3,0,1,0,0,0,1,Win,8,9,1
Sheffiled utd,Guest,6.3,3,0,0,2,3,0,1,0,0,0,1,7.1,2,1,1,1,3,0,0,0,1,1,0,Lost,8,16,0
Man utd,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,6.9,3,0,0,2,3,0,1,0,0,0,1,Win,8,13,1
Brentford,Guest,6.9,3,0,0,2,3,0,1,0,0,0,1,7.0,2,1,1,1,0,1,0,2,1,1,0,Lost,8,3,0
Crystal palace,Home,6.8,2,1,1,1,3,0,1,0,0,0,1,6.8,2,1,1,1,3,0,0,0,1,1,0,Draw,8,7,1
Nottm forest,Guest,6.8,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,3,0,1,0,0,0,1,Draw,8,15,0
Brighton,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,6.8,2,1,1,1,3,0,0,0,1,1,0,Draw,8,4,1
Liverpool,Guest,6.8,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,8,10,0
West ham,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,3,0,0,0,1,1,0,Draw,8,18,1
Newcatle,Guest,6.9,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Draw,8,14,0
Wolves,Home,6.9,3,0,0,1,2,0,1,0,1,1,1,6.9,2,1,1,2,2,0,1,0,0,0,1,Draw,8,19,1
Aston Villa,Guest,6.9,2,1,1,2,2,0,1,0,0,0,1,6.9,3,0,0,1,2,0,1,0,1,1,1,Draw,8,1,0
Arsenal,Home,7.0,2,1,1,1,3,0,0,0,1,1,0,6.5,2,1,1,1,3,0,0,0,1,1,0,Win,8,0,1
Man city,Guest,6.5,2,1,1,1,3,0,0,0,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Lost,8,12,0
Liverpool,Home,7.5,2,1,1,1,3,0,0,0,1,1,0,6.6,2,1,1,1,2,1,1,0,0,0,1,Win,9,10,1
Everton,Guest,6.6,2,1,1,1,2,1,1,0,0,0,1,7.5,2,1,1,1,3,0,0,0,1,1,0,Lost,9,8,0
Bournemouth,Home,6.3,2,1,1,1,0,1,0,2,1,1,0,7.6,3,0,0,1,2,0,1,0,1,1,1,Lost,9,2,1
Wolves,Guest,7.6,3,0,0,1,2,0,1,0,1,1,1,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,9,19,0
